Outer_Fold,Outer_Validation_Event,Feature_Event,Depth_cm,Feature_Type,Input_SAX_Word,Reference_Library_Events,Reference_Library_Word_Count,Reference_Library_SAX_Words,SAX_Word_Length,SAX_Alphabet_Size,Feature_Value,Computed_Hamming_Similarity,Feature_Calculation_Method,Reconstructed_Feature_Value,Absolute_Reconstruction_Error,Feature_Value_Reproducible,Feature_Event_In_Reference_Library,Outer_Validation_In_Reference_Library,Feature_Source,Status
LOEO_Fold_Val_4,4,14,50,Training,edddbaba,"[3, 10]",2,"['eedcbbaa', 'edcdddba']",8,5,0.5625,0.5625,Mean_Normalized_Hamming_Similarity,0.5625,0.0,True,False,False,Nested_Out_Of_Sample_Fold_Library,PASS
LOEO_Fold_Val_4,4,14,65,Training,eeecbbaa,"[3, 10]",2,"['eedcbbaa', 'edcdddba']",8,5,0.5625,0.5625,Mean_Normalized_Hamming_Similarity,0.5625,0.0,True,False,False,Nested_Out_Of_Sample_Fold_Library,PASS
LOEO_Fold_Val_4,4,4,85,Validation,eeddcbaa,"[3, 10, 14]",5,"['eedcbbaa', 'edcdddba', 'eedbbbaa', 'edddbaba', 'eeecbbaa']",8,5,0.6,0.6,Mean_Normalized_Hamming_Similarity,0.6,0.0,True,False,False,Nested_Out_Of_Sample_Fold_Library,PASS
LOEO_Fold_Val_4,4,4,105,Validation,eeddcbaa,"[3, 10, 14]",5,"['eedcbbaa', 'edcdddba', 'eedbbbaa', 'edddbaba', 'eeecbbaa']",8,5,0.6,0.6,Mean_Normalized_Hamming_Similarity,0.6,0.0,True,False,False,Nested_Out_Of_Sample_Fold_Library,PASS
LOEO_Fold_Val_10,10,3,125,Training,eedcbbaa,"[4, 14]",5,"['eeddcbaa', 'eeddcbaa', 'eedbbbaa', 'edddbaba', 'eeecbbaa']",8,5,0.75,0.75,Mean_Normalized_Hamming_Similarity,0.75,0.0,True,False,False,Nested_Out_Of_Sample_Fold_Library,PASS
LOEO_Fold_Val_10,10,4,85,Training,eeddcbaa,"[3, 14]",4,"['eedcbbaa', 'eedbbbaa', 'edddbaba', 'eeecbbaa']",8,5,0.65625,0.65625,Mean_Normalized_Hamming_Similarity,0.65625,0.0,True,False,False,Nested_Out_Of_Sample_Fold_Library,PASS
LOEO_Fold_Val_10,10,4,105,Training,eeddcbaa,"[3, 14]",4,"['eedcbbaa', 'eedbbbaa', 'edddbaba', 'eeecbbaa']",8,5,0.65625,0.65625,Mean_Normalized_Hamming_Similarity,0.65625,0.0,True,False,False,Nested_Out_Of_Sample_Fold_Library,PASS
LOEO_Fold_Val_10,10,14,45,Training,eedbbbaa,"[3, 4]",3,"['eedcbbaa', 'eeddcbaa', 'eeddcbaa']",8,5,0.7916666666666666,0.7916666666666666,Mean_Normalized_Hamming_Similarity,0.7916666666666666,0.0,True,False,False,Nested_Out_Of_Sample_Fold_Library,PASS
LOEO_Fold_Val_10,10,14,50,Training,edddbaba,"[3, 4]",3,"['eedcbbaa', 'eeddcbaa', 'eeddcbaa']",8,5,0.5,0.5,Mean_Normalized_Hamming_Similarity,0.5,0.0,True,False,False,Nested_Out_Of_Sample_Fold_Library,PASS
LOEO_Fold_Val_10,10,14,65,Training,eeecbbaa,"[3, 4]",3,"['eedcbbaa', 'eeddcbaa', 'eeddcbaa']",8,5,0.7083333333333334,0.7083333333333334,Mean_Normalized_Hamming_Similarity,0.7083333333333334,0.0,True,False,False,Nested_Out_Of_Sample_Fold_Library,PASS
LOEO_Fold_Val_10,10,10,85,Validation,edcdddba,"[3, 4, 14]",6,"['eedcbbaa', 'eeddcbaa', 'eeddcbaa', 'eedbbbaa', 'edddbaba', 'eeecbbaa']",8,5,0.3541666666666667,0.3541666666666667,Mean_Normalized_Hamming_Similarity,0.3541666666666667,0.0,True,False,False,Nested_Out_Of_Sample_Fold_Library,PASS
LOEO_Fold_Val_14,14,3,125,Training,eedcbbaa,"[4, 10]",3,"['eeddcbaa', 'eeddcbaa', 'edcdddba']",8,5,0.5833333333333334,0.5833333333333334,Mean_Normalized_Hamming_Similarity,0.5833333333333334,0.0,True,False,False,Nested_Out_Of_Sample_Fold_Library,PASS
LOEO_Fold_Val_14,14,4,85,Training,eeddcbaa,"[3, 10]",2,"['eedcbbaa', 'edcdddba']",8,5,0.5625,0.5625,Mean_Normalized_Hamming_Similarity,0.5625,0.0,True,False,False,Nested_Out_Of_Sample_Fold_Library,PASS
LOEO_Fold_Val_14,14,4,105,Training,eeddcbaa,"[3, 10]",2,"['eedcbbaa', 'edcdddba']",8,5,0.5625,0.5625,Mean_Normalized_Hamming_Similarity,0.5625,0.0,True,False,False,Nested_Out_Of_Sample_Fold_Library,PASS
LOEO_Fold_Val_14,14,10,85,Training,edcdddba,"[3, 4]",3,"['eedcbbaa', 'eeddcbaa', 'eeddcbaa']",8,5,0.3333333333333333,0.3333333333333333,Mean_Normalized_Hamming_Similarity,0.3333333333333333,0.0,True,False,False,Nested_Out_Of_Sample_Fold_Library,PASS
LOEO_Fold_Val_14,14,14,45,Validation,eedbbbaa,"[3, 4, 10]",4,"['eedcbbaa', 'eeddcbaa', 'eeddcbaa', 'edcdddba']",8,5,0.65625,0.65625,Mean_Normalized_Hamming_Similarity,0.65625,0.0,True,False,False,Nested_Out_Of_Sample_Fold_Library,PASS
LOEO_Fold_Val_14,14,14,50,Validation,edddbaba,"[3, 4, 10]",4,"['eedcbbaa', 'eeddcbaa', 'eeddcbaa', 'edcdddba']",8,5,0.53125,0.53125,Mean_Normalized_Hamming_Similarity,0.53125,0.0,True,False,False,Nested_Out_Of_Sample_Fold_Library,PASS
LOEO_Fold_Val_14,14,14,65,Validation,eeecbbaa,"[3, 4, 10]",4,"['eedcbbaa', 'eeddcbaa', 'eeddcbaa', 'edcdddba']",8,5,0.59375,0.59375,Mean_Normalized_Hamming_Similarity,0.59375,0.0,True,False,False,Nested_Out_Of_Sample_Fold_Library,PASS
Final_Holdout_Event_15,15,3,125,Training,eedcbbaa,"[4, 10, 14]",6,"['eeddcbaa', 'eeddcbaa', 'edcdddba', 'eedbbbaa', 'edddbaba', 'eeecbbaa']",8,5,0.6666666666666666,0.6666666666666666,Mean_Normalized_Hamming_Similarity,0.6666666666666666,0.0,True,False,False,Nested_Out_Of_Sample_Fold_Library,PASS
Final_Holdout_Event_15,15,4,85,Training,eeddcbaa,"[3, 10, 14]",5,"['eedcbbaa', 'edcdddba', 'eedbbbaa', 'edddbaba', 'eeecbbaa']",8,5,0.6,0.6,Mean_Normalized_Hamming_Similarity,0.6,0.0,True,False,False,Nested_Out_Of_Sample_Fold_Library,PASS
Final_Holdout_Event_15,15,4,105,Training,eeddcbaa,"[3, 10, 14]",5,"['eedcbbaa', 'edcdddba', 'eedbbbaa', 'edddbaba', 'eeecbbaa']",8,5,0.6,0.6,Mean_Normalized_Hamming_Similarity,0.6,0.0,True,False,False,Nested_Out_Of_Sample_Fold_Library,PASS
Final_Holdout_Event_15,15,10,85,Training,edcdddba,"[3, 4, 14]",6,"['eedcbbaa', 'eeddcbaa', 'eeddcbaa', 'eedbbbaa', 'edddbaba', 'eeecbbaa']",8,5,0.3541666666666667,0.3541666666666667,Mean_Normalized_Hamming_Similarity,0.3541666666666667,0.0,True,False,False,Nested_Out_Of_Sample_Fold_Library,PASS
Final_Holdout_Event_15,15,14,45,Training,eedbbbaa,"[3, 4, 10]",4,"['eedcbbaa', 'eeddcbaa', 'eeddcbaa', 'edcdddba']",8,5,0.65625,0.65625,Mean_Normalized_Hamming_Similarity,0.65625,0.0,True,False,False,Nested_Out_Of_Sample_Fold_Library,PASS
Final_Holdout_Event_15,15,14,50,Training,edddbaba,"[3, 4, 10]",4,"['eedcbbaa', 'eeddcbaa', 'eeddcbaa', 'edcdddba']",8,5,0.53125,0.53125,Mean_Normalized_Hamming_Similarity,0.53125,0.0,True,False,False,Nested_Out_Of_Sample_Fold_Library,PASS
Final_Holdout_Event_15,15,14,65,Training,eeecbbaa,"[3, 4, 10]",4,"['eedcbbaa', 'eeddcbaa', 'eeddcbaa', 'edcdddba']",8,5,0.59375,0.59375,Mean_Normalized_Hamming_Similarity,0.59375,0.0,True,False,False,Nested_Out_Of_Sample_Fold_Library,PASS
Final_Holdout_Event_15,15,15,15,Validation,edccbbba,"[3, 4, 10, 14]",7,"['eedcbbaa', 'eeddcbaa', 'eeddcbaa', 'edcdddba', 'eedbbbaa', 'edddbaba', 'eeecbbaa']",8,5,0.5357142857142857,0.5357142857142857,Mean_Normalized_Hamming_Similarity,0.5357142857142857,0.0,True,False,False,Nested_Out_Of_Sample_Fold_Library,PASS
Final_Holdout_Event_15,15,15,85,Validation,edccbbbb,"[3, 4, 10, 14]",7,"['eedcbbaa', 'eeddcbaa', 'eeddcbaa', 'edcdddba', 'eedbbbaa', 'edddbaba', 'eeecbbaa']",8,5,0.4107142857142857,0.4107142857142857,Mean_Normalized_Hamming_Similarity,0.4107142857142857,0.0,True,False,False,Nested_Out_Of_Sample_Fold_Library,PASS
Final_Holdout_Event_15,15,15,105,Validation,eedcbbaa,"[3, 4, 10, 14]",7,"['eedcbbaa', 'eeddcbaa', 'eeddcbaa', 'edcdddba', 'eedbbbaa', 'edddbaba', 'eeecbbaa']",8,5,0.7142857142857143,0.7142857142857143,Mean_Normalized_Hamming_Similarity,0.7142857142857143,0.0,True,False,False,Nested_Out_Of_Sample_Fold_Library,PASS
Final_Holdout_Event_15,15,15,125,Validation,edccbbbb,"[3, 4, 10, 14]",7,"['eedcbbaa', 'eeddcbaa', 'eeddcbaa', 'edcdddba', 'eedbbbaa', 'edddbaba', 'eeecbbaa']",8,5,0.4107142857142857,0.4107142857142857,Mean_Normalized_Hamming_Similarity,0.4107142857142857,0.0,True,False,False,Nested_Out_Of_Sample_Fold_Library,PASS
